latitude_bermuda,longitude_bermuda
25.9044811,-80.2893995
-35.2809368,149.1300092
-20.2637331,148.7159868
23.0660314,72.52067149999999
46.4398305,-122.846783
49.2827291,-123.1207375
40.29184300000001,97.04567899999999
10.587508,-66.9213628
62.399237,-140.371697
57.0530556,-135.33
48.8316351,-64.4869016
61.2180556,-149.9002778
25.9044811,-80.2893995
38.3998637,-75.0620177
39.5774607,-76.3444855
50.0657945,-5.712773299999999
-16.489689,-68.11929359999999
10.3998467,-75.55836169999999
26.5416093,-78.64554749999999
41.7033177,-93.05735330000002
55.6760337,12.5633246
10.4742449,-73.2436335
64.3046855,-146.665932
57.2027778,-153.3038889
58.3019444,-134.4197222
-2.9001285,-79.00589649999999
28.5552719,-82.3878709
28.0474183,-80.6070428
61.2180556,-149.9002778
42.12922409999999,-80.085059
21.1330056,-157.2125068
26.918875,-105.6534543
55.12224500000001,-3.349008
-13.2702025,-63.70014939999999
41.223,-111.9738304
5.2763631,115.2491678
-8.591401,14.92815
-2.9760735,104.7754307
8.9779248,79.910131
42.6629138,21.1655028
56.45405599999999,138.167328
-23.3866812,-48.7218983
1.2521739,-70.23361799999999
59.4162617,24.8005893
-22.7186089,-42.6279835
43.585791,39.718556
0.377778,6.713056
48.015883,37.80285
46.63705059999999,-121.3915844
3.766667,-73.833333
21.787441,-72.19667
